Nº,Carga constante,Tiempo (min),Vout (V),Iout  (A),Temp. Interna (°C),Temp. MOSFET (°C),Actua protección,Observaciones
1,300W (30V/10A),0,,,,,,
2,300W (30V/10A),5,,,,,,
3,300W (30V/10A),10,,,,,,
4,1000W (70V/14A),0,,,,,,
5,1000W (70V/14A),5,,,,,,
